ID,Question,A,B,C,D,E,Answer
3102,"La sarcoidosi con adenopatia ilare asintomatica e senza interessamento del
parenchima polmonare richiede:",,terapia con ossifenbutazone,terapia con colchicina,terapia con clorochina,nessuna terapia,E
3103,La nevralgia del trigemino si localizza preferenzialmente:,,a livello della II e III branca del trigemino,a livello fronto-oculare,a livello occipitale,a livello temporo-parietale,E
3104,"Qual'è il miglior indice di controllo metabolico relativamente ad un
periodo di alcuni mesi in un soggetto diabetico?",1c,concentrazione di Hb,basale e dopo somministrazione di glucagone,concentrazione di fruttosamina,concentrazione di peptide,E
3105,"Uno stato di anemia cronica in un paziente con sangue occulto nelle delle
feci deve indirizzare l'iter diagnostico, in prima ipotesi, verso
l'identificazione di un carcinoma del:",,cieco-ascendente,colon discendente,retto,stomaco,E
3106,L'agente eziologico del mughetto e' uno dei seguenti miceti:,,histoplasma capsulatum,blastomyces dermatitidis,cryptococcus neoformans,trichophyton mentagrophytes,E
3107,L'otorrea è sinonimo di:,,fuoriuscita di pus dal condotto uditivo interno,fuoriuscita di pus dal condotto uditivo esterno,fuoriuscita di pus dal vestibolo nasale,fuoriuscita di pus dal seno cavernoso,E
3108,"Quali dei seguenti disturbi sono associati con anomalie dei cromosomi
sessuali?",,,,,,
3109,"Dopo il fegato l'organo più colpito dalla metastasi di carcinoma
polmonare è:",,il surrene,il rene,il cervello,la milza,E
3110,Qual' è il segno ECG-Grafico della Necrosi del Miocardio?,,la T negativa,lo slivellamento del tratto ST,allungamento PR,onda delta,E
3111,Durante il processo metastatico le cellule possono migrare:,,nel circolo linfatico;,per via transcelomatica;,per via canalicolare;,per tutte le vie descritte sopra.,E
3112,"Che cosa si intende per ""moda"" in statistica?",,il valore che si trova nel mezzo,il valore che si osserva più frequentemente,la radice ennesima del prodotto di n... valori,la radice della varianza,E
3113,Con il termine di ipertrofia si intende:,,La trasformazione di un tessuto in un altro,"L'aumento di volume di un tessuto per incremento numerico degli
elementi cellulari costitutivi",Una proliferazione cellulare che presenta caratteri di atipia,La degenerazione neoplastica di un tessuto,E
3114,"Il PT (tempo di protrombina o tempo di Quick) rappresenta una misura
dei seguenti fattori:",,"protrombina V,VIII,IX,X,XI,XII","protrombina V,VII,X","V,VII,IX,XI",Nessuno dei precedenti,E
3115,Nell'assistenza al paziente delirante è importante:,,"approvare apertamente i temi deliranti per stabilire una migliore relazione
terapeutica","opporsi con decisione al delirio per stimolare una migliore adesione alla
realtà",tutte le precedenti risposte,nessuna delle precedenti risposte,E
3116,"Quale delle seguenti manifestazioni può far pensare ad una anemia
cronica?",,febbre,bradicardia,allucinazioni,sudorazioni notturne,E
3117,La principale manifestazione clinica della brucellosi acuta-subacuta è la,,febbre a scalini,febbre anfibolica,febbre quintana,febbre terzana,E
3118,L'adenina è:,,una pirimidina,un derivato imidazolico,un derivato del furano,un derivato del tiofene,E
3119,L'origine aortica dell'arteria mesenterica superiore è localizzata:,,dietro al pancreas,al di sopra del tronco celiaco,nel piccolo omento,nel mesocolon trasverso,E
3120,L'alcalosi respiratoria differisce da quella metabolica in quanto:,,il livello di bicarbonato plasmatico è normale oppure ridotto,il flusso ematico cerebrale tende ad aumentare,non vi è pericolo di tetania,vi è una riduzione della eccitabilità neuromuscolare,E
3121,"Cause di neutrofilia non associata a malattie neoplastiche, includono:",,neutrofilia da stress,trattamento con steroidi,somministrazione di fattori di crescita,tutte le precedenti,E
3122,L'alternarsi di un battito regolare con un battito prematuro si osserva nel,,polso scoccante,polso alternante,polso bigemino,polso paradosso,E
3123,Nell'insufficienza cardiaca congestizia quale sintomo non e' presente:,,ipotensione arteriosa,aumento della compliance polmonare,epatomegalia,riduzione della compliance polmonare,E
3124,Nella malattia a lesioni minime la lesione glomerulare più caratteristica è:,,la deposizione di IgG sulla membrana basale,la proliferazione delle cellule mesangiali,la ialinosi focale,la perdita dei pedicelli dei podociti,E
3125,Quale delle seguenti malattie della tiroide non produce noduli:,,adenoma,carcinoma anaplastico,carcinoma follicolare,morbo di Graves,E
3126,"Il riscontro di proteinuria dosabile (>3.5 g/die) e cilindruria è
patognomico di una:",,sindrome nefrosica,ipertensione arteriosa,insufficienza renale acuta ischemica,pielonefrite acuta,E
3127,"Quale tra le seguenti affermazioni sulla patogenesi dello scompenso
cardiaco è errata?",,"l'aumento del tono adrenergico riflesso nello scompenso è un fenomeno
sostanzialmente positivo","la stimolazione del sistema renina-angiotensina-aldosterone può
peggiorare la fibrosi cardiaca",i recettori alfa adrenergici sono vasocostrittori sulle arterie e sulle vene,la ritenzione idrica aumenta il precarico,E
3128,Qual è il meccanismo patogenetico che sostiene l'asma da esercizio fisico?,,raffreddamento delle vie aeree,disidratazione delle vie aeree,stimolazione nervosa riflessa,tutte le precedenti,E
3129,La diuresi diminuisce in tutti i seguenti casi eccetto se:,,aumenta la pressione nell'arteria renale,aumenta la stimolazione simpatica,diminuisce la VFG,aumenta la sudorazione,E
3130,La legge 180 prevede:,,l'uso di nuove terapia psicoterapiche,lo spostamento dell'asse di intervento dal manicomio al territorio,la riduzione degli interventi psichiatrici,nessuna delle precedenti risposte,E
3131,"Quale delle indicazioni sotto elencate concernente la terapia di una
flebotrombosi profonda in donna gravida è corretta?",,la terapia con warfarin è controindicata solo nel I° trimestre di gravidanza.,"la terapia con warfarin è controindicata per tutta la gravidanza ma non
nell'allattamento","la terapia con warfarin è controindicata sia nel periodo pre-parto che
post-parto","tutte le misure terapeutiche applicabili in una donna non gravida sono
utilizzabili nella gravida",E
3132,Le più alte concentrazioni di ozono troposferico si registrano:,,"In estate, nelle prime ore del mattino","In inverno, nelle ore più calde della giornata","In inverno, nelle prime ore del mattino",In primavera e autunno nelle giornate di pioggia,E
3133,Eutanasia (art. 36):,,"il medico può effettuare o favorire trattamenti diretti a provocare la morte
solo in caso di pazienti non coscienti su esplicita richiesta del parente più
prossimo","non praticare sempre e comunque tutte le cure possibili in qualsiasi
condizione clinica equivale all'eutanasia","il medico anche su esplicita richiesta di paziente cosciente non deve
effettuare o favorire trattamenti diretti a provocare la morte","il medico può effettuare o favorire trattamenti diretti a provocare la morte
di pazienti non coscienti solo se è presente una indicazione scritta dal
paziente, estesa quando era ancora cosciente",E
3134,Soffi sistolici da rigurgito sono quelli dovuti a:,,difetto settale ventricolare,aumentata gittata sistolica,dilatazione post-valvolare,soffio da flusso per stenosi relativa,E
3135,Tra le cause della iperglicemia diabetica non figura:,,"il diminuito trasporto di glucosio all'interno delle cellule del tessuto
muscolare",aumenta la sintesi endogena di glucosio (neoglucogenesi),aumento della glicogenosintesi,diminuzione del catabolismo del glucosio,E
3136,"Quale delle seguenti affermazioni relative alle PROSTAGLANDINE e'
E*SATT",derivano dal metabolismo degli acidi grassi poliinsaturi,sono componenti esclusivi della prostata,"derivano dal metabolismo degli acidi grassi saturi a n. pari di atomi di
carbonio","derivano dal metabolismo degli acidi grassi a numero dispari di atomi di
carbonio",sono delle glicoproteine di origine piastrinica,E
3137,Quali sono i germi piogeni più comuni a livello cutaneo?,,stafilococchi e streptococchi,enterococchi,streptobacilli,spirochete,E
3138,nella macroglobulinemia di Waldestrom si ha la produzione in eccesso di:,,Ig,complemento,Ig M,Nessuna delle risposte precedenti,E
3139,"Quale tra i seguenti non è considerato un sintomo d'allarme in un paziente
che si presenta con dispepsia:",,calo di peso non intenzionale,diarrea cronica,disfagia,insorgenza recente di sintomi ad andamento ingravescente,E
3140,La causa più frequente di paralisi acuta bilaterale del VII nervo cranico è:,e,arrè,,neuroborreliosi,,E
3141,L'empiema polmonare è caratterizzato da,,un ascesso polmonare drenato,presenza di liquido misto a gas nella cavità pleurica,opresenza di sangue coagulato nella cavità pleurica,presenza di pus nella cavità pleurica,E
3142,"I rischi più considerevoli legati all'uso di farmaci biologici (anti-TNF)
sono rappresentati da:",umento degli enzimi epatici,,,,Tutti i precedenti,E
3143,Per microalbuminuria si intende l'escrezione di albumina compresa tra:,,30 e 550 mcg/die,30 e 550 ng/die,30 e 550 pg/die,nessuna delle precedenti,E
3144,"In quale delle seguenti patologie la splenomegalia è particolarmente
marcata?",,,,,,
3145,"La concentrazione ematica di quale dei seguenti può propriamente
considerarsi un indice biochimico di citonecrosi epatica:",,amilasi,alanina aminotransferasi,fosfatasi alcalina,albumina,E
3146,"Tutti le seguenti manifestazioni rientrano nel quadro della pancreatite
cronica, tranne:",,stipsi ostinata,perdita di peso,calcificazioni in regione pancreatica,diabete mellito,E
3147,"Quale delle seguenti condizioni è tipicamente associata alla sindrome da
lisi tumorale:",,iperuricemia,ipetrigliceridemia,ipocalcemia,ipofosforemia,E
3148,Il cromosoma Philadelphia è:,,il risultato di una traslocazione cromosomica;,il risultato di una delezione;,un cromosoma che manca di un braccio corto;,una modificazione di un cromosoma sessuale.,E
3149,Da che cosa è caratterizzato il respiro di Cheyne-Stokes?,,una respirazione incoordinata,"un progressivo aumento di frequenza e profondità degli atti respiratori
cui segue una pausa respiratoria",una estrema bradipnea,una estrema tachipnea,E
3150,Quali proprietà deve possedere il radionuclide ideale per uso diagnostico?,"basso costo, facilmente disponibile, e decadere con emissione di
particelle ad alta energia","asso costo, emivita dell'ordine di minuti e decadere con emissioni
gamma e beta",,,,E
3151,Le statine sono efficaci nel ridurre il rischio cardio-vascolare perché:,,Inibendo la lipoprotein lipasi,Riducono la sintesi delle VL,L e per possibili effetti pleiotropici,"Riducono il valore del colesterolo solo nelle ipercolesterolemie primarie e
non in quelle secondarie",E
3152,Quali delle seguenti condizioni è causa di ipertensione nefrovascolare ?,,rene policistico,glomerulonefrite membranosa,sindrome di Goodpasture,stenosi della arteria renale,E
3153,"Quale dei seguenti elementi non rientra nel calcolo del punteggio diChild-Pugh, importante indice prognostico nella cirrosi",,valore di sodio plasmatico,valore di bilirubinemia,presenza ed entità del versamento ascitico,presenza ed entità dell'encefalopatia portosistemica,E
3154,La sopravvivenza dei globuli rossi in circolo e':,,60 giorni,120 giorni,215 giorni,300 giorni,E
3155,"In condizioni normali l'assorbimento liquorale avviene in massima parte
ad opera:",,dei plessi corioidei,dell'ependima ventricolare,delle venule cortico-piali encefaliche,della superficie dello spazio lepto-meningeo,E
3156,"Nel sesso femminile la causa più frequente di carenza marziale è
rappresentata da:",,eccessive perdite ematiche mestruali,ulcera gastro-duodenale,malattie intestinali,epistassi,E
3157,La linite plastica si verifica nel caso di:,,una gastrite cronica,un ulcera gastrica,in tutte e tre le condizioni,in nessuna di queste tre condizioni,E
3158,"Quale terna sceglieresti per una efficace iniezione intratracheale di
farmaci?",,"ossigeno, bicarbonato, dopamina","atropina, dopamina, calcio cloruro","atropina, adrenalina, lidocaina","metoclopramide, cimetidina, noradrenalina",E
3159,Il Naloxone è un farmaco:,nalgesico,,,,,E
3160,La sintomatologia clinica della beta talassemia minor:,,"e' generalmente modesta, ma include sempre splenomegalia",puo' essere assente in una significativa % di casi,e' quasi sempre assente,nessuna delle precedenti,E
3161,La diagnosi di polmonite da ipersensibilità è basata su:,,criteri clinici,criteri radiologici: impegno polmonare interstiziale bilaterale,tutte le precedenti,nessuna delle precedenti,E
3162,"In una radiografia antero-posteriore del torace, il margine sinistro
dell'ombra cardiaca è costituito da queste formazioni tranne:",,arteria polmonare,,,,B
3163,La terapia anticoagulante è di prima scelta:,,negli ictus ischemici secondari a fibrillazione atriale,negli ictus ischemici secondari ad ateromasia carotidea,negli ictus emorragici,negli ictus criptogenetici,E
3164,"Le seguenti sono cause di ascite non associata con malattia peritoneale,
fuorche':",,udd-,hiari,sindrome di Meigs,istoplasmosi,E
3165,Dove è localizzato il gene responsabile della fibrosi cistica?,,cromosoma 13,cromosoma 7,cromosoma 11,cromosoma 3,E
3166,"Quale tra le seguenti procedure è necessaria per l'avvio di una
sperimentazione di Fase IV?",SL.,autorizzazione del Ministero della sanità.,trasmissione al Ministero della sanità del protocollo sperimentale.,riconoscimento dell'idoneità da parte della,esito favorevole degli accertamenti dell'ISS.,E
3167,E' INTERESSAT,,,ITI,,SSUN,E
3168,"Quale delle seguenti situazione prevede obbligatoriamente un
approfondimento diagnostico, se riscontrata nel neonato di quattro giorni:",crocianosi periferica durante il pianto,Frequenza cardiaca 150 / min,,Frequenza respiratoria a riposo 40 / min.,Valori di bilirubina indiretta di 6 mg/dL,E
3169,Un farmaco si dice che ha effetto inotropo negativo quando:,umenta la frequenza cardiaca,,,eprime l'eccitabilità degli elementi miocardici,,E
3170,Il ciclo ovarico ha inizio,lla pubertà,,,,,E
3171,Tra i sintomi dell'ipertensione endocranica vi può essere:,,Prima del picco di estradiolo,Poco prima del picco di LH,urante la fase luteale del ciclo,,E
3173,I principali segni di gravità di una crisi asmatica sono:,,espettorato denso,sudorazione profusa,arrossamento del volto e del collo,nessuna delle precedenti,E
3174,"Quale dei seguenti strumenti è impiegato per valutare la qualità di vita del
paziente:",,questionario autocompilativo,osservazione,esame obiettivo,nessuno dei precedenti,E
3175,Il controllo della terapia eparinica va fatto con:,,tempo di emorragia,prova del laccio,tempo di tromboplastina parziale,dosaggio del fibrinogeno,E
3176,La Spectrina è un componente fondamentale:,,dell'amilasi,della molecola del fibrinogeno,di tutte queste trasformazioni,di nessuna di questa trasformazioni,E
3177,"Il rigonfiamento delle membrane in una cellula esposta ad ipossia acuta è
conseguente a:",umento del trasporto passivo di pentosi,,l-,,,E
3178,Da una coppia costituita da maschio affetto da Emofilia,tutte le figlie femmine affette da emofilia,tutte i figli maschi affetti da emofilia,solo figli non affetti,la metà dei figli affetti,infertilità,E
3179,"La calcificazione massiva di pleuriti croniche è particolarmente
caratteristica di esito:",,,,a emotorace,Forme neoplastiche associate,E
3180,"Nello studio del paziente con ipertensione arteriosa, a quale di questi il
medico dovrà porre particolare attenzione, nell'effettuare anamnesi, esame
obiettivo e test di laboratorio?",,Stabilire una base di elementi pre trattamento,Verificare la presenza di altri fattori di rischio,Stabilire se sono presenti danni d' organo,Tutti i precedenti,E
3181,"Quale delle seguenti affezioni causa più tipicamente proteinuria ed
ematuria?",,,,,,
3182,"Quali dei fattori sotto elencati concorrono a determinare il quadro delle
reazioni di ipersensibilità di tipo I°?",", monociti, fagocitosi",Ig,3a,"Immunocomplessi, complemento, membrane basali","IgM, eosinofili, complemento",E
3183,"Un uomo di 50 anni chiede una visita di controllo al suo medico di fiducia
perché ha una anamnesi patologica remota di neoplasia. All'età di 30 anni
era stato trattato con successo per un cancro testicolare disseminato, non
di tipo seminoma, con 3 cicli di cisplatino, etoposide, e bleomicina. Non è
mai stata riscontrata alcuna recidiva.
Quali dei seguenti test periodici di sorveglianza è da raccomandare a
questo paziente?",,Puntato midollare,itologia urinaria ed endoscopia gastrica,,Screening neoplastico appropriato per la sua età,E
3184,"Se si verifica un caso di meningite cerebrospinale epidemica in una scuola
è necessario effettuare:",,Ricerca dei portatori,hiusura della scuola,Vaccinazione di tutti gli alunni della scuola,,E
3185,La spermatogenesi ha inizio,lla fecondazione,,,,,E
3186,E' un errore grave defibrillare un paziente con asistolia all'ECG?,,"no, se l'asistolia non risponde al trattamento con adrenalina","no, se il paziente è ipotermico","si, se il paziente ha un'intossicazione digitalica","si, sempre e comunque",E
3187,L'uso dei mezzi di contenzione fisica è consentito:,,in tutti i casi a discrezione del coordinatore,in tutti i casi dietro prescrizione medica,mai,nessuna delle precedenti risposte,E
3188,"Quali dei seguenti vaccini viene somministrato obbligatoriamente in Italia
a tutti i nuovi nati ?",,,,,Nessuna delle altre risposte,E
3189,"Una sindrome caratterizzata da cefalea, ipertensione arteriosa ed
emorragia cerebrale può verificarsi a seguito di:",enterite,polmonite,tiroidite,glomerulonefrite,nessuna di queste manifestazioni,E
3191,Il nervo accessorio spinale innerva,,i m. pretiroidei,il m. platisma,i m. scaleni,i m. sternoscleidomastoideo ed elevatore della scapola,E
3192,La neoplasia polmonare più frequente è:,,carcinoma a piccole cellule,carcinoma spinocellulare,LMNH,adenocarcinoma bronchiolo-alveolare,E
3193,Una delle seguenti affermazioni è falsa:,) per l'endotelina media azione vasocostrittrice,) per l'endotelina media la vasodilatazione,il recettore di tipo,l'endotelina-1 provoca broncodilatazione,esistono bloccanti recettoriali dell'endotelina -1,E
3194,"La manifestazione più frequente della prima infezione da Herpes Simplex
tipo 1 è:",,gengivo-stomatite,esofagite,epatite,encefalite,E
3195,"Quale delle seguenti tecniche è la più specifica nel valutare la maturità del
polmone fetale?",,eclar),ossificazione dell'epifisi femorale distale (di,pattern a felce su di un vetrino,aumentato livello di creatinina nel liquido amniotico,E
3196,Le meningiti neonatali sono sostenute da,,Meningococco,oli,,Nessuno dei precedenti,E
3197,Quale di queste è la definizione di afasia motoria?,,Incapacità di parlare,Incomprensione delle parole scritte,isturbo parziale di espressione del linguaggio,,E
3198,PER TELARC,4 anni,6 anni,8 anni,10 anni,12 anni,E
3199,Il midollo spinale termina a livello della vertebra:,,,,,,
3200,L'effetto anticoagulante dell'eparina:,,Risulta potenziato da concomitanti nefropatie,Viene potenziato in caso di ipoalbuminemia,può andare incontro a fenomeni di tolleranza,può essere accompagnato da grave piastrinopenia,E
3201,Che cosa si prefigge la riabilitazione psicosociale?,,la risoluzione dei sintomi produttivi,"l'acquisizione di prestazioni comportamentali, con particolare riferimento
alle capacità relazionali e di socializzazione",la risouzione dei sintomi negativi,tutte le precedenti risposte,E
3202,Che cosa si intende per ascesso?,,unm infezione della colecisti,una raccolta ematica,una raccolta sierosa,un processo infiammatorio del cuoio capelluto,E
3203,Il delirio ipocondriaco è caratterizzato da:,,convinzione di essere invincibile,gioia di ammalarsi,timore per lo sporco,timore per l'altezza,E
3204,"Nella dentizione permanente, una emiarcata alveolo dentaria ospita:",,"2 molari, 2 premolari, 2 canini, 2 incisivi","2 molari, 3 premolari, 1 canino, 1 incisivo","3 molari, 2 premolari, 1 canino, 2 incisivi","4 molari, 1 premolare, 1 canino, 1 incisivo",E
3205,"Quando la batteriuria viene considerata sicuramente positiva, cioè
diagnostica, nei casi di infezione delle vie urinarie?",,Quando compresa tra 10.000 e 100.000 germi/ml di urina,Quando superiore a 100.000 germi/ml di urina,Quando compresa tra 10.000 e 50.000 germi/ml di urina,Quando superiore a 50.000 germi/ml di urina,E
3206,Per fare una diagnosi di emicrania è necessario effettuare:,,RMN cerebrale,cerebrale,ecocolor-doppler dei tronchi sovraortici,nessuna indagine,E
3207,Quali noduli sono caratteristici dell'artrite reumatoide?,,ouchard,noduli di Meynet,nessuno,tutti,E
3208,Con il termine stigma si intende:,"La distruzione dei microrganismi patogeni presenti in un materiale o in un
ambiente","La distruzione dei microrganismi patogeni e saprofiti presenti in un
materiale o in un ambiente",La pratica che blocca le attività metaboliche dei microrganismi,La distruzione di vettori,La distruzione degli ectoparassiti,E
3210,Quale delle seguenti condizioni può associarsi ad artrite?,,rettocolite ulcerosa,enterite da Yersinia,tutte le precedenti,nessuna delle precedenti,E
3211,Il piccolo male-assenze del bambino:,,è una forma di epilessia parziale idiopatica,è una forma di epilessia generalizzata sintomatica,è una forma di epilessia parziale sintomatica,non è una forma di epilessia,E
3212,"La debolezza muscolare a livello del cingolo scapolare associata ad una
elevazione della VES alla 1° ora in una persona anziana caratterizzano la:",,polimialgia reumatica,malattia di Still,miopatia secondaria ad ipotiroidismo,entesopatia della cuffia dei rotatori,E
3213,Una anemia microcitica con livelli elevati di emoglobina A2 suggerisce:,,beta-talassemia,alfa-talassemia,anemia falciforme,persistenza ereditaria di emoglobina fetale,E
3214,"Indicare quale fra i seguenti tumori è più frequentemente causa di
metastasi cerebrali:",,carcinomi broncogeni;,carcinomi del colon;,carcinomi della prostata;,carcinomi della tiroide.,E
3215,"I pazienti dislipidemici che non hanno beneficio da terapia con le statine
possono essere:",,pazienti con diabete mellito,soggetti con dislipidemia caratterizzata da alti livelli di L,L,pazienti con bassi livelli di H,E
3216,Il diametro delle particelle di silice che si depositano negli alveoli è:,,1-2 micron,minore di 0.5 micron,> di 20 micron,tutti,E
3217,"In caso di emottisi ripetute si deve prendere in considerazione la seguente
diagnosi:",sma bronchiale,ronchite cronica semplice,Tubercolosi miliare,,,E
3218,I recettori alfa adrenergici sono stimolati da:,,,,,,
3219,Le neoplasie gastriche più frequenti sono:,,i tumori stromali gastrointestinali ( GIST),i carcinoidi/carcinomi neuroendocrini,gli adenocarcinomi,i tumori di Krukemberg,E
3220,I farmaci anti-infiammatori non steroidei:,,"sono associati ad ulcera duodenale, ma non gastrica","sono responsabili della maggior parte dei casi di ulcere peptiche non
H.pylori positive",non devono mai essere utilizzati in presenza di storia di ulcera duodenale,danno complicanze gastroduodenali solo nel giovane,E
3221,"Il meccanismo di azione dei sulfamidici consiste in (indicare la
affermazione corretta):",,Inibizione della folatoreduttasi batterica,,Inibizione della diidrofolatoreduttasi batterica,Inibizione della sintesi di mRN,E
3222,L'eclampsia è catterizzata da:,,iperriflessia,convulsioni tipo grande male,convulsioni tipo piccolo male,scotomi,E
3223,Il paziente ipertiroideo presenta,,crampi muscolari-ipertensione arteriosa-flushes cutanei,sete eccessiva- poliuria-eccesso ponderale,anoressia-dimagrimento-depressione stitica,tremori-insonnia-diarrea,E
3224,"Il test diagnostico più sensibile per la diagnosi di reflusso gastroesofageo
è:",,Manometria,Ph metria,Rx torace,Rx con pasto baritato,E
3225,Le catecolamine inducono:,,riduzione della pressione arteriosa,ipotensione ortostatica,aumento di peso corporeo,ipoglicemia,E
3226,"Un bambino di 5 anni viene condotto in Pronto Soccorso con un
importante distress respiratorio, stridore e febbre elevata. L'apertura
""attiva"" della bocca mostra un'epiglottide tumefatta ed arrossata. Qual è
l'agente patogeno verosimilmente in causa?",,Stafilococco epidermidis,Streptococco beta emolitico di gruppo,,Neisseria meningitidis,E
3227,Dove si trova l'eminenza tenar?,,a livello del gomito,nel canale inguinale,dal lato radiale del carpo,dal lato ulnare del carpo,E
3228,Nello shock cardiogeno quale segno non è presente:,differenziale,vasocostrizione delle arteriole e venule,diminuzione della gittata cardiaca,diminuzione della pressione venosa centrale,attivazione del sistema adrenergico,E
3229,Che cosa caratterizza un'apnea centrale?,"ssenza di ""arousal"" al termine dell'apnea",,,,Nessuna delle precedenti,E
3230,Quale medicamento non è un broncodilatatore?,,pindololo,orciprenalina,salbutamolo,isoproterenolo,E
3231,L'anemia associata al carcinoma della prostata in fase avanzata è dovuta a:,,carenza di ferro,carenza di folati,terapia antiandrogenica,problemi midollari primitivi,E
3232,Che cos'è l'illusione?,,Una percezione erronea di uno stimolo sensoriale reale,Una percezioni senza caratteri sensoriali,Una anomalia del pensiero,Un disturbo dell'intelligenza,E
3233,Nel coma diabetico l'alito ha odore:,lcolico,Fetido,,i mandorle amare,,E
3234,Quali sono le sedi di localizzazione dell'acne?,,Pieghe dei gomiti e delle ginocchia,Pieghe inguinali,"Viso, collo e dorso","Piedi, caviglie, gambe e cavi poplitei",E
3235,"Nell'eritrasma l'esame alla luce di Wood mostra una tipica fluorescenza di
colore:",,verdastro,rosso corallo,bianco latte,blu chiaro,E
3236,"In caso di linfogranuloma maligno, quale esame è decisivo per la
diagnosi?",,ecogrfia,biopsia linfonodale,linfografia,risonanza magnetica,E
3237,Quale farmaco non ha effetto anti-ipertensivo?,,calcio-antagonisti,clomifene,opa,alfa-metil-,E
3238,L'adenoma ipofisario TSH secernente induce:,,sindrome iperprolattinemica,ipertiroidismo,diabete mellito,nessuno dei precedenti,E
3239,Quale delle seguenti alterazioni è patognomica del coma epatico?,,tremore a battito d'ala (flapping tremor),iperiflessia,iporeflessia,nessuna delle precedenti,E
3240,"Le seguenti operazioni da compiersi prima del prelievo di sangue sono
tutte corrette, tranne:",,stringere il laccio per 5 minuti,individuare la vena,disinfettare accuratamente,lavarsi le mani,E
3241,La fontanella bregmatica :,,"è una membrana fibrosa interposta tra le ossa della volta cranica del
neonato",si chiude dopo il primo giorno di vita,si trova al punto d'incontro degli spazi membranosi sagittale e lambdoideo,si trova tra osso parietale e temporale,E
3242,Quale delle seguenti proposizioni definisce meglio l'infiammazione?,,chemiotassi di leucociti verso i batteri,una forma di proliferazione cellulare patologica,una reazione della microcircolazione tessutale ad una stimolo lesivo,modificazioni cellulari prodotte da uno stimolo lesivo,E
3243,Che azioni hanno le benzodiazepine?,ccelerano la sintesi della dopamina,loccano i recettori dell'acetilcolina,Inibiscono la ricaptazione della noradrenalina,,,E
3244,Il gozzo endemico è causato principalmente da:,nticorpi antiperossidasi,Predisposizione genetica,,,,E
3245,Nell'ipertensione renovascolare:,,vi è una vasocostrizione dell'arteriola efferente glomerulare,vi è un'attivazione del sistema renina-angiotensina,Tutte le precedenti,Nessuna delle precedenti,E
3246,La succinilcolina è utilizzata come:,,vagolitico,bloccante dei recettori alfa adrenergici,bloccante neuromuscolare,bloccante dei recettori beta adrenergici,E
3247,L'onda T dell'ECG esprime:,,,Ripolarizzazione atriale,epolarizzazione ventricolare,,E
3248,Quali di queste affermazioni sul canale inguinale e' falsa?,,contiene vasi linfatici tributari dei linfonodi lombo-aortici,"in esso sono contenuti i tre rami genitali dei nervi ileo-ipogastrico,
ileo-inguinale e genito-femorale","la parete superiore del canale inguinale e' formata dal margine libero del
muscolo retto dell'addome",contiene il legamento rotondo dell'utero,E
3249,Indicare l'indagine di prima scelta in presenza di ittero ostruttivo:,,,,T,ndoscopia,E
3250,La fenformina è adoperata :,,come disinfettante aspecifico,per la cura della emocromatosi,per la colorazione istochimica degli immunocomplessi,per la profilassi dell' anchilostomiasi,E
3251,Il primo tono può essere ridotto in caso di:,,mixoma dell'atrio sinistro,calcificazione della mitrale,tachicardia,PR corto,E
3252,"in caso di rifiuto volontario e consapevole a nutrirsi da parte di una
persona sana di mente il medico (art.51)",,può collaborare a manovre coattive,"può rifiutarsi di assistere il paziente che non accetta di riprendere
l'alimentazione","deve informare il paziente sulle possibili conseguenze dei propri atti e
assicurarsi dell'effettiva consapevolezza della decisione presa","su richiesta dei familiari deve intervenire anche contro la volontà del
paziente",E
3253,Nell'anoressia nervosa si riscontra:,,paura di ingrassare,vomito autoindotto,riduzione dell'assunzione di cibo,tutte le precedenti risposte,E
3254,Quale marker tumorale è utilizzato nel carcinoma midollare della tiroide:,lfa feto proteina,Tg,a 19.9,,,E
3255,II più verosimile meccanismo della diarrea nell'enterite da Salmonella é:,umentata motilità intestinale,,Malassorbimento del contenuto intestinale,iminuita motilità intestinale,,E
3256,L'epispadia consiste in una delle seguenti condizioni:,,anomalia di posizione del pollice,anchilosi delle articolazioni interfalangee di un dito del piede,anomalia uretrale con sbocco sulla faccia dorsale del pene,malformazione dell'epididimo,E
3257,"I farmaci non evitano l'effetto di primo passaggio attraverso il fegato se
somministrati",,per via sublinguale,per via rettale,per via transdermica,per via sottocutanea,E
3258,Quale malattia cutanea ha come lesione elementare la papula?,,Lupus eritematoso discoide,Lichen planus,Psoriasi,Lichen sclero-atrofico,E
3259,La farmacovigilanza è:,,La fase IV della sperimentazione clinica dei farmaci (fase post-marketing),La valutazione dell'efficacia clinica dei nuovi farmaci,"L'ente europeo responsabile dell'autorizzazione all'uso clinico dei nuovi
farmaci",L'ultima fase della sperimentazione preclinica dei farmaci,E
3260,"In quale delle seguenti condizioni si possono osservare frequentemente
infezioni da miceti?",,nei portatori sani di virus dell'epatite,nell'alcolismo cronico,negli immunodepressi,nell'ipotiroidismo,E
3261,La presenza di glicosuria,,,,Solo in alcuni casi è patologico,Indica che la glicemia è inferiore a 160 mg/dl,E
3262,Chi ha l'obbligo del referto deve farlo pervenire entro:,,entro 24 ore,"entro 48 ore o, se vi è pericolo nel ritardo, immediatamente",sempre immediatamente,appena possibile,E
3263,Quale test è più indicativo per la diagnosi di dermatomiosite:,,elettromiografia,biopsia muscolo-cutanea,cellule L,complementemia,E
3264,L'amilodosi renale si sviluppa facilmente in pazienti con:,,diabete mellito,mieloma multiplo,pielonefrite cronica,nefrosclerosi maligna,E
