index,question,answer,macro_category,area,gemma,llama,mistral
4365,la vaccinazione implica lo sviluppo di una immunizzazione di tipo:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4366,quale dei seguenti microrganismi viene solitamente ricercato nelle acque come indicatore di contaminazione fecale ?,B,medicina legale e sanità pubblica,Clinica,B,B,B
4367,gli studi caso-controllo:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4368,le aziende sanitarie locali (a.s.l.) sono una vera e propria azienda pubblica dotata di autonomia:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4369,l'assistenza sanitaria di base è,A,medicina legale e sanità pubblica,Clinica,A,C,C
4370,quale delle seguenti affermazioni sull'infezione da hcv è corretta?,C,medicina legale e sanità pubblica,Clinica,D,C,C
4371,il processo di pianificazione strategica è:,A,medicina legale e sanità pubblica,Clinica,A,A,A
4372,si indichi il fenomeno morboso a più elevata letalità,A,medicina legale e sanità pubblica,Clinica,C,C,A
4373,la differenza tra tasso di incidenza negli esposti e nei non esposti a un fattore di rischio si definisce:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4374,per residuo fisso (o solido) di un'acqua s'intende:,B,medicina legale e sanità pubblica,Clinica,D,B,B
4375,in quale delle seguenti forme di epatite virale la letalità può raggiungere il 20% se l'infezione è contratta durante il terzo trimestre di gravidanza ?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4376,le linee guida:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4377,i rifiuti derivanti da attività domestiche sono inclusi tra quelli (cfr. d.lgs. 22/97):,A,medicina legale e sanità pubblica,Clinica,A,A,A
4378,per quali tra i seguenti fattori di rischio vi è evidenza scientifica certa di cancerogenicità ?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4379,"uno studio epidemiologico che esamina una popolazione in un preciso istante al fine di determinare lo stato di malattia, l'esposizione ad un particolare fattore o la presenza di una qualsiasi altra condizione viene definito:",A,medicina legale e sanità pubblica,Clinica,A,A,A
4380,il tasso di mortalità infantile è il rapporto tra:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4381,"quale, tra i seguenti tumori maligni del sesso maschile, ha mostrato negli ultimi decenni, in italia, una evidente riduzione dei tassi di mortalità ?",B,medicina legale e sanità pubblica,Clinica,D,B,D
4382,un rischio relativo superiore a 1 indica presumibilmente che:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4383,quali dei seguenti vaccini è costituito da virus viventi attenuati?,B,medicina legale e sanità pubblica,Clinica,B,B,B
4384,quale tra i seguenti componenti è presente in maggior percentuale nei rifiuti solidi secondo le più recenti stime per l'italia ?,A,medicina legale e sanità pubblica,Clinica,A,B,A
4385,qual e' il tasso alcolemico massimo ammesso dal codice della strada per la guida di autoveicoli:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4386,le cure palliative sono:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4387,in tema di responsabilita' civile del medico:,B,medicina legale e sanità pubblica,Clinica,D,D,B
4388,"nell'ambito della colpa generica, imperizia significa:",D,medicina legale e sanità pubblica,Clinica,D,D,D
4389,"cosa si intende con la dizione ""prognosi riservata""?",E,medicina legale e sanità pubblica,Clinica,E,E,E
4390,come e' strutturato il sistema classificatorio icidh ?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4391,chi e' tenuto al rispetto del codice di deontolgia medica?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4392,l'uso di armi:,A,medicina legale e sanità pubblica,Clinica,A,C,A
4393,"il ""danno biologico"" e':",C,medicina legale e sanità pubblica,Clinica,C,C,C
4394,perche' l'infortunio lavorativo sia riconosciuto deve procurare una inabilta' temporanea superiore a:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4395,quale e' un requisito essenziale del certificato?,A,medicina legale e sanità pubblica,Clinica,A,C,A
4396,si definisce invalido civile colui che:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4397,la perdita di un senso o dell'uso di un organo costituisce:,E,medicina legale e sanità pubblica,Clinica,D,C,C
4398,quale categoria di medici ha l'obbligo di prestare la propria opera in qualita' di ausiliare di polizia giudiziaria?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4399,la copia della ricetta di sostanze stupefacenti:,B,medicina legale e sanità pubblica,Clinica,C,B,C
4400,quali tra le seguenti sono sanzioni disciplinari previste per la responsabilita' deontologica?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4401,quale dei seguenti materiali biologici consente l'accertamento di un uso non recente di droghe?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4402,i grandi traumatismi sono caratterizzati da lesioni:,E,medicina legale e sanità pubblica,Clinica,C,C,C
4403,cos'e' la morte iatrogena,C,medicina legale e sanità pubblica,Clinica,C,C,C
4404,la formazione della crosta:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4405,tutte le seguenti affermazioni sono errate tranne:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4406,tutte le seguenti affermazioni riguardanti la malattia professionale sono esatte tranne:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4407,il medico necroscopo ha il compito di,E,medicina legale e sanità pubblica,Clinica,C,C,C
4408,quando può essere omesso il referto?,D,medicina legale e sanità pubblica,Clinica,D,A,D
4409,il nuovo codice di deontologia medica e' stato approvato:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4410,una patologia verosimilmente causata dalle mansioni svolte dal lavoratore ma non contemplata nel sistema tabellare,D,medicina legale e sanità pubblica,Clinica,D,D,D
4411,"quando sussiste la possibilità di vita autonoma del feto, l'interruzione volontaria della gravidanza può essere praticata solo allorché:",A,medicina legale e sanità pubblica,Clinica,A,A,A
4412,quale delle seguenti sanzioni non è prevista in caso di violazione del codice deontologico?,C,medicina legale e sanità pubblica,Clinica,A,C,C
4413,un cadavere può essere inumato prima delle 24 ore dal decesso,E,medicina legale e sanità pubblica,Clinica,D,B,C
4414,"in un paziente affetto da una grave malattia neoplastica, la diagnosi e la prognosi:",C,medicina legale e sanità pubblica,Clinica,E,E,E
4415,il presupposto fondamentale per la liceità dell'atto medico è,C,medicina legale e sanità pubblica,Clinica,C,C,C
4416,al segreto professionale è tenuto,B,medicina legale e sanità pubblica,Clinica,B,B,B
4417,il medico di medicina generale e/o il pediatra di libera scelta possono raccogliere il consenso dei propri pazienti al trattamento dei dati:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4418,il titolare del trattamento dei dati ai sensi del codice della privacy nomina il/i responsabili:,A,medicina legale e sanità pubblica,Clinica,E,A,A
4419,in quali di questi casi vi è obbligo di referto:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4420,"al di fuori di alcuni casi particolari, nessun cadavere può essere chiuso in cassa, né essere sottoposto ad autopsia od a trattamenti conservativi, né essere inumato, tumulato, cremato, prima che siano trascorse",C,medicina legale e sanità pubblica,Clinica,C,C,C
4421,l'infortunio sul lavoro (ambito inail) è assicurato,B,medicina legale e sanità pubblica,Clinica,B,B,B
4422,nelle lesioni da proiettile da arma da fuoco il foro d'entrata si differenzia dal foro d'uscita perché,A,medicina legale e sanità pubblica,Clinica,A,A,A
4423,chi deve fare il referto?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4424,obblighi giuridici del medico: il referto deve essere fatto quando il medico presta la sua assistenza od opera in casi di:,D,medicina legale e sanità pubblica,Clinica,E,D,D
4425,la denuncia delle cause di morte deve essere fatta,A,medicina legale e sanità pubblica,Clinica,C,A,C
4426,per suicidio mancato si intende quello:,D,medicina legale e sanità pubblica,Clinica,C,C,D
4427,l'accertamento di morte cerebrale:,E,medicina legale e sanità pubblica,Clinica,A,E,A
4428,la forma delle ecchimosi:,D,medicina legale e sanità pubblica,Clinica,D,B,D
4429,"le informazioni circa prognosi gravi o infauste, secondo la norma del codice deontologico,",B,medicina legale e sanità pubblica,Clinica,B,C,B
4430,"nessuno può essere obbligato ad un determinato trattamento sanitario, se non per disposizione di legge. tale principio si trova così enunciato",B,medicina legale e sanità pubblica,Clinica,B,B,B
4431,le seguenti malattie infettive sono soggette a denuncia all'autorita' pubblica:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4432,"la responsabilità penale, ex art. 27 della costituzione, è:",B,medicina legale e sanità pubblica,Clinica,B,B,B
4433,la notifica di malattia infettiva all'autorita' pubblica deve essere fatta da:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4434,le ipostasi,A,medicina legale e sanità pubblica,Clinica,C,C,A
4435,quale categoria di medici e' obbligata a prestare la propria opera in qualita' di ausiliari di polizia giudiziaria?,E,medicina legale e sanità pubblica,Clinica,B,E,E
4436,"quale dei seguenti requisiti identifica la condizione di ""handicap"" nella legislazione corrente?",E,medicina legale e sanità pubblica,Clinica,A,A,A
4437,le lesioni silicotiche dal punto di vista anatomo-patologico hanno un aspetto che le distingue dalle altre forme di fibrosi polmonare in quanto:,B,medicina legale e sanità pubblica,Clinica,E,B,B
4438,in quale patologia professionale è frequente il fenomeno di raynaud o del dito bianco?,C,medicina legale e sanità pubblica,Clinica,C,C,C
4439,un operatore sanitario di un'azienda ospedaliera giunge alla tua osservazione per una dermatite alle mani. quali esami prescriveresti per accertare se la dermatite è dovuta effettivamente all'uso di guanti?,A,medicina legale e sanità pubblica,Clinica,A,A,A
4440,la disposizione spaziale delle nodulazioni silicotiche è prevalentemente,B,medicina legale e sanità pubblica,Clinica,B,D,B
4441,il mesotelioma pleurico compare più frequentemente nella,C,medicina legale e sanità pubblica,Clinica,C,C,C
4442,quale terapia ritieni essere più corretta nell'intossicazione acuta da piombo,E,medicina legale e sanità pubblica,Clinica,E,E,E
4443,il polmone del contadino(farmer's lung) è una malattia,C,medicina legale e sanità pubblica,Clinica,C,C,C
4444,in medicina del lavoro gli indicatori di effetto:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4445,le alveoliti allergiche estrinseche sono patologie professionali peculiari di quale tra le seguenti categorie di lavoratori?,B,medicina legale e sanità pubblica,Clinica,B,B,B
4446,le lesioni silcotiche colpiscono di preferenza:,A,medicina legale e sanità pubblica,Clinica,A,B,A
4447,quale delle seguenti occupazioni comporta rischio di patologia del rachide?,A,medicina legale e sanità pubblica,Clinica,B,C,C
4448,a quale di queste noxae professionali si ascrive una caratteristica pancitopenia?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4449,in quali di questi lavoratori è presente il rischio da epatite c,C,medicina legale e sanità pubblica,Clinica,C,C,E
4450,le alterazioni a lungo termine causate da posture incongrue e da movimentazione di carichi riguardano soprattutto:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4451,quali delle seguenti noxae può provocare angiosarcoma epatico?,C,medicina legale e sanità pubblica,Clinica,C,C,C
4452,la silicosi e' una pneumoconiosi sclerogena caratterizzata dal punto di vista istopatologico da:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4453,"un tuo paziente di 35 anni ti chiede consiglio prima di cambiare lavoro. tenendo presente che e' un fumatore incallito, a quale dei seguenti fattori di rischio lo consiglieresti di non esporsi?",E,medicina legale e sanità pubblica,Clinica,D,E,E
4454,l'angiosarcoma epatico può avere origine professionale da:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4455,tra le radiazioni elettromagnetiche quelle dalla cui esposizione derivano maggiori rischi sono :,C,medicina legale e sanità pubblica,Clinica,B,B,B
4456,l'apparato più esposto alle noxae oncogene è:,A,medicina legale e sanità pubblica,Clinica,A,A,A
4457,il caratteristico grisou di miniera contiene fondamentalmente,B,medicina legale e sanità pubblica,Clinica,B,B,B
4458,quale tra i seguenti interventi preventivi deve essere considerato prioritario in tema di rischio da rumore?,E,medicina legale e sanità pubblica,Clinica,A,E,A
4459,complicanze della asbestosi,C,medicina legale e sanità pubblica,Clinica,C,C,C
4460,"il signor roberto, fonditore di ghisa, lamenta da qualche anno dispnea da sforzo, tosse produttiva ed espettorazione per periodi di 2/3 mesi all'anno. il sospetto diagnostico formulato dal medico curante è di silicosi. per confermare la responsabilità delle polveri silicee come fattore eziologico viene effettuata una indagine ambientale. quali dimensioni devono avere le particelle inalate, per essere ritenute responsabili della silicosi?",D,medicina legale e sanità pubblica,Clinica,D,D,D
4461,nella intossicazione da organofosfati trova indicazione:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4462,l'eczema da contatto è devoto a:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4463,il classico orletto di burton è tipico nelle patologie da,D,medicina legale e sanità pubblica,Clinica,D,D,D
4464,nel mercurialismo cronico si rileva tipicamente:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4465,si ha perforazione nel setto nasale per esposizione a:,C,medicina legale e sanità pubblica,Clinica,B,C,C
4466,la più frequente complicanza della silicosi è,B,medicina legale e sanità pubblica,Clinica,B,B,B
4467,il prick test è una prova cutanea per:,A,medicina legale e sanità pubblica,Clinica,A,A,A
4468,l'ulcera del setto nasale può comparire nei lavoratori che sono esposti a:,D,medicina legale e sanità pubblica,Clinica,A,D,D
4469,quale dei suddetti dati ematochimici è indicativo di epatopatia tossica,A,medicina legale e sanità pubblica,Clinica,A,A,A
4470,la tossicità di una sostanza dipende essenzialmente:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4471,con il termine pneumoconiosi sclerogena s'intende:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4472,quale di questi segni clinici consente di orientarci nella diagnosi per colica saturnina anziché per una peritonite acuta diffusa:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4473,il lavoro muscolare,A,medicina legale e sanità pubblica,Clinica,A,A,A
4474,tumori professionali del fegato possono essere indotti,B,medicina legale e sanità pubblica,Clinica,B,B,A
4475,un operatore sanitario durante un'attivita' di prelievo ematico si punge con una siringa.quale infezione e' maggiormente probabile tenendo conto della copertura vaccinale?,C,medicina legale e sanità pubblica,Clinica,B,B,B
4476,quali tra le seguenti categorie mediche è più esposto a radiazioni ionizzanti?,C,medicina legale e sanità pubblica,Clinica,E,C,E
4477,quale è la causa del polmone del contadino?,B,medicina legale e sanità pubblica,Clinica,B,B,B
4478,la rendita derivante da infortunio sul lavoro è cumulabile con quella conseguita in ambito di invalidità civile,B,medicina legale e sanità pubblica,Clinica,D,D,E
4479,medico autorizzato é:,C,medicina legale e sanità pubblica,Clinica,B,B,C
4480,tumori professionali dei seni paranasali possono essere indotti,E,medicina legale e sanità pubblica,Clinica,C,E,E
4481,"arriva al p.s. un lavoratore agricolo con incontinenza urinaria e fecale, vertigini, astenia, vomito, diarrea, pupille puntiformi. che sostanza sospetti come responsabile del quadro clinico?",D,medicina legale e sanità pubblica,Clinica,D,D,D
4482,"il sig. rossi, forte fumatore si reca dal dott. bianchi. il sig. rossi è preoccupato per la progressiva perdita di peso (10 kg in 4 mesi) e la comparsa di astenia generalizzata, ipostenia degli arti superiori e dispnea da sforzo. dall'anamnesi professionale emerge che il sig. rossi e' addetto alla pavimentazione stradale mediante asfaltatura da circa 20 anni. cosa potrebbe sospettare il dott. bianchi sulla base di tali informazioni?",B,medicina legale e sanità pubblica,Clinica,B,B,B
4483,una caratteristica necessaria dell'ipoacusia da rumore è:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4484,quale dei seguenti tessuti è più sensibile alle radiazioni ionizzanti?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4485,la periodicità degli accertamenti sanitari nell'esposizione a rumore è:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4486,si può fare diagnosi di malattia professionale allorquando tale patologia:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4487,in quali di questi lavoratori è più frequente l'osservazione di carcinoma della vescica:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4488,quale delle seguenti attività lavorative comporta in misura più elevata il rischio silicotigeno?,B,medicina legale e sanità pubblica,Clinica,B,B,B
4489,da quale causa origina la silicosi?,E,medicina legale e sanità pubblica,Clinica,E,E,E
4490,il test arresto-ripresa è utile nella diagnosi di quale tecnopatia,B,medicina legale e sanità pubblica,Clinica,C,B,E
4491,l'asbestosi parenchimale iniziale si localizza prevalentemente:,B,medicina legale e sanità pubblica,Clinica,A,B,B
4492,quale reperto radiologico è tipico per lo stadio precoce della silicosi:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4493,l'esposizione professionale a piombo è particolarmente nociva nelle seguenti condizioni fisiologiche o patologiche:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4494,l'indice di tiffenau in corso di asma professionale risulta:,C,medicina legale e sanità pubblica,Clinica,C,C,C
4495,cute color rosso ciliegia è indicativa di:,B,medicina legale e sanità pubblica,Clinica,B,B,A
4496,ai carbammati sono tipicamente esposti,C,medicina legale e sanità pubblica,Clinica,C,C,C
4497,gli isocianati sono:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4498,le zoonosi sono malattie,C,medicina legale e sanità pubblica,Clinica,C,C,C
4499,il tracciato audiometrico nell'ipoacusia da rumore dimostra un deficit di tipo:,A,medicina legale e sanità pubblica,Clinica,E,A,E
4500,la silicosi è riconosciuta malattia di origine professionale quando,B,medicina legale e sanità pubblica,Clinica,B,B,B
4501,gli idrocarburi aromatici policiclici risultano oncogeni per,A,medicina legale e sanità pubblica,Clinica,A,A,E
4502,l'antracosi è:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4503,quali dei seguenti elementi chimici è sicuramente oncogeno per l'uomo?,D,medicina legale e sanità pubblica,Clinica,D,D,D
4504,a seguito di un infortunio sul lavoro viene corrisposta dall'inail una rendita al lavoratore infortunato se residua una invalidità permanente maggiore del,A,medicina legale e sanità pubblica,Clinica,D,D,B
4505,l'infortunio sul lavoro può essere definito come:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4506,patogenesi della silicosi,E,medicina legale e sanità pubblica,Clinica,E,A,A
4507,quali sono le malattie professionali attualmente di piu' frequente riscontro in ambito industriale:,D,medicina legale e sanità pubblica,Clinica,D,D,E
4508,quale delle seguenti patologie sono associate all'esposizione ad asbesto:,B,medicina legale e sanità pubblica,Clinica,B,B,B
4509,la presenza di fibre di asbesto nell'espettorato indica:,D,medicina legale e sanità pubblica,Clinica,D,D,D
4510,quale dei seguenti nervi periferici è tipicamente leso dal piombo?,C,medicina legale e sanità pubblica,Clinica,C,C,C
4511,quali dei seguenti esami risulta di maggiore importanza per sospettare l'asma professionale:,B,medicina legale e sanità pubblica,Clinica,C,D,D
4512,le vaccinazioni generalmente raccomandate negli operatori sanitari in italia sono:,A,medicina legale e sanità pubblica,Clinica,A,A,A
4513,"la profilassi post-esposizione per hiv, in caso d'infortunio professionale occorso in operatore sanitario con paziente fonte con stato sierologico sconosciuto, prevede:",C,medicina legale e sanità pubblica,Clinica,A,C,C
4514,"la profilassi post-esposizione per hbv, in caso d'infortunio professionale occorso in operatore sanitario non vaccinato e con paziente fonte il cui stato sierologico sia sconosciuto, prevede:",A,medicina legale e sanità pubblica,Clinica,A,A,A
4515,il piano nazionale della prevenzione 2014-2018 identifica come principali criticita' nel ridurre la frequenza d'infezioni e malattie infettive prioritarie per la sanita' pubblica:,E,medicina legale e sanità pubblica,Clinica,E,E,E
4516,"revisioni sistematiche della letteratura internazionale, relativamente agli infortuni occupazionali in ambito sanitario per esposizione biologica a virus trasmissibili con il sangue e i liquidi biologici, hanno riportato come la percentuale di casi evitabili tramite il corretto utilizzo delle precauzioni standard da parte degli operatori sanitari sia di circa il:",A,medicina legale e sanità pubblica,Clinica,D,D,D
4517,"il rischio clinico, secondo il ministero della salute, si configura come:",C,medicina legale e sanità pubblica,Clinica,C,C,C
4518,"nella compressione neoplastica o discale della cauda equina, il primo sintomo generalmente è:",B,medicina specialistica,Clinica,A,B,B
4519,la modalità di trasmissione ereditaria nella distrofia muscolare tipo duchenne è la seguente:,C,medicina specialistica,Clinica,C,C,C
4520,quale è abitualmente la durata di un episodio di emicrania senza aura ?,D,medicina specialistica,Clinica,D,D,D
4521,una lesione ischemica nel territorio dell'arteria cerebrale media determina:,B,medicina specialistica,Clinica,D,B,B
4522,nella siringomielia la storia di solito inizia con:,D,medicina specialistica,Clinica,D,D,D
4523,l'attacco ischemico transitorio presenta per definizione una durata:,C,medicina specialistica,Clinica,C,C,C
4524,quale è la più frequente causa di stroke?,C,medicina specialistica,Clinica,C,C,C
4525,un paziente avverte un improvviso stiramento alla schiena mentre sta lavorando a tronco flesso. il giorno successivo si sveglia con un dolore intenso ed intorpidimento al i dito del piede sinistro. e' verosimile che abbia un'ernia del disco intervertebrale:,B,medicina specialistica,Clinica,C,B,C
4526,quale delle seguenti indagini è più indicata nello studio di un paziente con sclerosi multipla?,B,medicina specialistica,Clinica,B,B,B
4527,quale delle seguenti affermazioni che riguardano la malattia di parkinson non è corretta ?,A,medicina specialistica,Clinica,E,A,A
4528,"paziente in cui la tac evidenzia lesione espansiva cerebrale (neoplasia, ascesso, lesione infiammatoria o malformazione vascolare). il successivo inquadramento diagnostico della lesione (natura, estensione, vascolarizzazione), si farà con quale delle seguenti indagini?",E,medicina specialistica,Clinica,B,E,B
4529,in quale delle seguenti condizioni l'eeg è più utile?,A,medicina specialistica,Clinica,A,A,A
4530,i lobi temporali dell'encefalo elaborano:,E,medicina specialistica,Clinica,E,E,B
4531,in questo elenco di disturbi neurologici ad insorgenza acuta e della durata di pochi minuti o ore solo uno rappresenta un tia:,C,medicina specialistica,Clinica,C,C,C
4532,la sindrome di guillain-barrè colpisce:,A,medicina specialistica,Clinica,A,D,A
4533,quale tipo di idrocefalo tra quelli indicati non provoca ipertensione intracranica ?,B,medicina specialistica,Clinica,B,B,B
4534,il mini-mental status esamination è:,B,medicina specialistica,Clinica,B,B,B
4535,da quale fonte di contagio deriva la variante inglese della malattia di creutzfeldt-jakob?,A,medicina specialistica,Clinica,D,A,A
4536,"una donna all'ottavo mese di gravidanza ha presentato nelle ultime settimane un discreto aumento di peso dovuto in parte ad una ritenzione di liquidi: durante la notte si lamenta di dolore alla mano destra con ""punture di spilli"" al palmo e alle prime due-tre dita della mano specie dal lato palmare. si tratta di:",D,medicina specialistica,Clinica,D,D,D
4537,l'emianopsia bitemporale si osserva:,B,medicina specialistica,Clinica,A,B,E
4538,quale delle seguenti caratteristiche definisce il tremore a riposo ?,C,medicina specialistica,Clinica,C,C,C
4539,che cosa si intende per spasticità:,B,medicina specialistica,Clinica,B,B,B
4540,quali delle seguenti descrizioni meglio definisce l'emicrania?,D,medicina specialistica,Clinica,D,D,D
4541,"in un soggetto che presenta stato di male epilettico generalizzato, garantite le funzioni vitali, quale terapia va praticata?",B,medicina specialistica,Clinica,B,B,B
4542,il più consistente e significativo segno di disfunzione cerebellare è:,A,medicina specialistica,Clinica,A,A,A
4543,la paralisi periodica familiare è un'astenia muscolare grave pseudoparalitica dovuta a:,A,medicina specialistica,Clinica,A,A,B
4544,una lesione completa del midollo spinale può includere tutte le seguenti tranne:,A,medicina specialistica,Clinica,A,A,D
4545,quale delle seguenti forme di cefalea è considerata idiopatica ?,B,medicina specialistica,Clinica,B,B,B
4546,una delle seguenti caratteristiche di movimento non è presente nella sindrome di tourette :,B,medicina specialistica,Clinica,B,B,B
4547,nella sindrome delle gambe senza riposo durante la notte sono frequenti:,C,medicina specialistica,Clinica,C,C,C
4548,quale dei seguenti sintomi è indicativo di polineuropatia in fase iniziale?,B,medicina specialistica,Clinica,B,B,B
4549,quale dei seguenti segni non è presente nella poliradicolonevrite di guillain-barrè:,E,medicina specialistica,Clinica,E,E,E
4550,nella paralisi del sesto nervo cranico l'occhio e':,B,medicina specialistica,Clinica,B,A,A
4551,la nevralgia del trigemino è più frequente:,C,medicina specialistica,Clinica,B,C,C
4552,l'interruzione completa del tratto ottico di destra provoca:,C,medicina specialistica,Clinica,C,C,C
4553,nell'ischemia cerebrale del distretto carotideo dx è indicata la terapia chirurgica (tromboendoarterectomia):,E,medicina specialistica,Clinica,E,E,E
4554,e' possibile giungere alla sospensione dei farmaci anti-epilettici?,A,medicina specialistica,Clinica,A,A,A
4555,la causa più frequente di emorragia subaracnoidea è rappresentata da:,A,medicina specialistica,Clinica,A,A,A
4556,immediatamente dopo una sezione trasversa del midollo spinale ci si aspetta di trovare più probabilmente:,B,medicina specialistica,Clinica,B,B,B
4557,le più frequenti manifestazioni di esordio della miastenia gravis sono:,C,medicina specialistica,Clinica,C,C,C
4558,quale dei seguenti esami non è indicato nel sospetto di una patologia ipofisaria?,D,medicina specialistica,Clinica,D,D,D
4559,il tracciato basale elettroencefalografico di un neonato di 3 mesi:,C,medicina specialistica,Clinica,C,C,C
4560,la mielografia:,D,medicina specialistica,Clinica,D,D,D
4561,la nevralgia del trigemino si localizza preferenzialmente:,B,medicina specialistica,Clinica,B,B,B
4562,quale dei seguenti segni non è riferibile ad una lesione del primo neurone di moto:,A,medicina specialistica,Clinica,A,A,A
4563,il morbo di alzheimer e' familiare nel:,B,medicina specialistica,Clinica,A,A,A
4564,una delle seguenti caratteristiche non è presente nella polineurite infettiva acuta o s. di guillaim-barré. quale?,E,medicina specialistica,Clinica,D,D,E
4565,il distretto muscolare più frequentemente colpito dalla miastenia grave è:,B,medicina specialistica,Clinica,B,B,B
4566,"un uomo di 68 anni con una storia di ipertensione si presenta per esordio acuto di ipostenia e deficit sensitivo agli arti inferiori associati a incontinenza doppia. l'esame obiettivo mostra una paraplegia flaccida, ridotto tono sfinterico, anestesia termo-dolorifica dal terzo inferiore del torace in giù e normali sensibilità vibratoria e del senso di posizione e movimento. l'eziologia più probabile è:",A,medicina specialistica,Clinica,A,A,A
4567,una rapida perdita di forza agli arti inferiori con areflessia osteo-tendinea e senza segni piramidali ha come possibili cause:,C,medicina specialistica,Clinica,C,C,C
4568,la compromissione del sistema nervoso periferico in corso di aids si caratterizza per la comparsa di:,E,medicina specialistica,Clinica,E,E,B
4569,quale malattia è caratterizzata dalla presenza di zone sparse di demielinizzazione con relativa integrita' dei cilindrassi ?,C,medicina specialistica,Clinica,C,C,C
4570,quale delle seguenti caratteristiche cliniche non definisce un attacco ischemico transitorio?,C,medicina specialistica,Clinica,C,C,C
4571,quale dei seguenti farmaci viene usato nel trattamento dell'epilessia temporale?,A,medicina specialistica,Clinica,A,A,A
4572,nella malformazione di arnold-chiari:,B,medicina specialistica,Clinica,B,B,B
4573,quale delle seguenti affermazioni è corretta in caso di attacco di emicrania ?,C,medicina specialistica,Clinica,C,C,C
4574,il meccanismo d'azione della tossina botulinica è:,C,medicina specialistica,Clinica,C,C,C
4575,quali di queste condizioni non è rilevante nello scatenamento di una crisi epilettica?,E,medicina specialistica,Clinica,E,E,E
4576,nell'afasia di wernicke:,C,medicina specialistica,Clinica,C,C,C
4577,gli episodi di cefalea a grappolo hanno una durata di:,C,medicina specialistica,Clinica,C,C,C
4578,la terapia antiaggregante è indicata:,A,medicina specialistica,Clinica,A,A,A
4579,il tremore parkinsoniano è prevalentemente di tipo:,C,medicina specialistica,Clinica,C,C,C
4580,più frequentemente il primo segno di una patologia del 7° nervo cranico è:,B,medicina specialistica,Clinica,B,B,E
4581,per miotonia si intende:,D,medicina specialistica,Clinica,D,D,D
4582,"un uomo di 50 anni presenta da circa 15 mesi una sintomatologia rapidamente progressiva caratterizzata da paraparesi spastica, iperreflessia osteotendinea multipla, segno di babinski bilaterale, fascicolazioni, modesta atrofia dei muscoli delle mani, non presenta deficit della sensibilita' ne' disturbi sfinterici. qual e' l'orientamento diagnostico piu' probabile:",D,medicina specialistica,Clinica,D,D,D
4583,tra i seguenti fattori di rischio vascolare è più importante:,B,medicina specialistica,Clinica,B,B,B
4584,per la terapia dell'attacco di cefalea emicranica di marcata entità è preferibile usare:,D,medicina specialistica,Clinica,D,D,D
4585,turbe neurogene del controllo della vescica dovute a lesione del midollo spinale provocano spesso:,B,medicina specialistica,Clinica,B,B,B
4586,in quale di queste neuropatie è oggi sospettata una eziopatogenesi autoimmune?,B,medicina specialistica,Clinica,B,B,B
4587,il dolore dell'emicrania è tipicamente:,D,medicina specialistica,Clinica,D,D,D
