,id,question,A,B,C,D,E,answer,category,macro category
1415,1416,il delirium tremens è associato caratteristicamente ai seguenti sintomi con la esclusione di:,bradicardia,tremore,vivide allucinazioni visive,disorientamento temporo spaziale,decorso di 3-7 giorni,A,Area Clinica 2019,medicina specialistica
1416,1417,il disturbo delirante di tipo somatico si puo' articolare in tematiche di vario tipo fra le quali:,tutte le seguenti,la convinzione di avere la pelle infestata da parassiti o un parassita interno,la convinzione di avere parti del corpo deformi,la convinzione di avere organi non funzionanti,la convinzione di emanare odore cattivo da qualche parte del corpo,A,Area Clinica 2019,medicina specialistica
1417,1418,che cos'è l'illusione?,una percezione senza oggetto,una distorsione della percezione,una percezioni senza caratteri sensoriali,una anomalia del pensiero,un disturbo dell'intelligenza,B,Area Clinica 2019,medicina specialistica
1418,1419,a cosa può portare la tossicomania da cocaina ?,tolleranza,dipendenza,neurosi,psicosi,astinenza,D,Area Clinica 2019,medicina specialistica
1419,1420,nell'insufficienza mentale grave il q.i. è compreso fra:,0-20/25,25-40/50,40/50-70,80/90-100,100-110/120,A,Area Clinica 2019,medicina specialistica
1420,1421,in un paziente demente che presenti agitazione psicomotoria è indicato l'uso di:,benzodiazepine,barbiturici a basse dosi,sostanze placebo,aloperidolo a basse dosi,clorimipramina,D,Area Clinica 2019,medicina specialistica
1421,1422,per definire un disturbo depressivo maggiore come ricorrente occorre:,la presenza di almeno tre episodi depressivi in tre anni consecutivi.,la comparsa di due o più episodi depressivi con intervallo di remissione di almeno due mesi consecutivi.,"la comparsa di depressione in determinati periodi dell'anno, in particolare la primavera e l'autunno.",la presenza di episodi depressivi alternati a periodi di ipomaniacalità,nessuna delle risposte indicate,A,Area Clinica 2019,medicina specialistica
1422,1423,per salute mentale si intende la capacità dell'individuo :,di risolvere o adattarsi a conflitti esterni o eventi esterni negativi,di canalizzare le pulsioni in prodotti sociali,di stabilire adeguate relazioni interpersonali,di adattarsi all'ambiente,tutte le risposte sono esatte,E,Area Clinica 2019,medicina specialistica
1423,1424,la prevalenza nella epidemiologia misura:,il numero di casi di una malattia che esistono in un dato momento in una popolazione,i sintomi più comuni di una malattia,la malattia a maggior frequenza,l'etnocentrismo e il trattamento di una data malattia,la fascia d'età maggiormente vulnerabile,A,Area Clinica 2019,medicina specialistica
1424,1425,per fobia si intende:,un disturbo della personalità,un disturbo del pensiero,un sintomo tipico di matrice psicotica,un disturbo della percezione,un sintomo della depressione,B,Area Clinica 2019,medicina specialistica
1425,1426,nel trattamento di un quadro confusionale bisognerebbe:,assicurare al paziente una presenza continuativa,tenere il paziente in condizioni di oscurità ed isolamento,usare larghe quantità di sedativi,usare antidepressivi triciclici,mantenere il paziente sveglio a tutti i costi,A,Area Clinica 2019,medicina specialistica
1426,1427,uno stato crepuscolare può essere dovuto a:,crisi epilettica temporale,insonnia persistente,diminuzione del visus,reazione fobica particolarmente grave,iperdosaggio di farmaci antidepressivi,A,Area Clinica 2019,medicina specialistica
1427,1428,per depressione mascherata si intende:,"una depressione con sintomi compensatori contrari a quelli depressivi (tipo iperaffacendamento, ilarità)",estroversione,una depressione che si presenta con prevalente depressione somatica in assenza di malattia fisica,una depressione con prevalente componente reattiva su una struttura nevrotica di personalità,nessuna delle risposte indicate,C,Area Clinica 2019,medicina specialistica
1428,1429,quale è la percentuale di pazienti neoplastici che sviluppa un episodio depressivo?,10%,25%,50%,80%,100%,B,Area Clinica 2019,medicina specialistica
1429,1430,qual è il primo tipo di contenzione che si utilizza nel paziente maniacale?,relazionale,farmacologica,fisica,nessuna delle altre risposte indicate,tutte le altre risposte indicate,B,Area Clinica 2019,medicina specialistica
1430,1431,in quale di queste discipline specialistiche l'assistito può accedere direttamente senza l'impegnativa del medico di medicina generale ?,igiene,medicina interna,psichiatria,dermatologia,medicina legale,C,Area Clinica 2019,medicina specialistica
1431,1432,"come si chiama una forte angoscia invincibile ed immotivata per situazioni, azioni ed oggetti?",paura,fobia,ossessione,pseudoallucinazione,delirio,B,Area Clinica 2019,medicina specialistica
1432,1433,i farmaci antidepressivi:,agiscono sulle membrane dei neuroni pre e post sinaptici,agiscono a livello intracellulare,si legano alle monoamine nello spazio intersinaptico,agiscono come endorfine,nessuna delle risposte indicate,A,Area Clinica 2019,medicina specialistica
1433,1434,il carbonato di litio è farmaco di elezione nella terapia:,del coma uremico,dell'atrofia giallo-acuta,della psicosi maniaco-depressiva,dell'amebiasi epatica,dell'ulcera duodenale,C,Area Clinica 2019,medicina specialistica
1434,1435,l'ansia nel bambino si manifesta:,nelle psicosi,nelle nevrosi,nel disturbo post-traumatico da stress,in assenza di disturbi psichiatrici,in tutte queste condizioni,E,Area Clinica 2019,medicina specialistica
1435,1436,qual è il meccanismo di difesa prevalente nella paranoia?,conversione,spostamento,proiezione,soppressione,regressione,C,Area Clinica 2019,medicina specialistica
1436,1437,per agitazione si intende:,un tremore incontrollabile,uno stato di forte tensione emotiva,uno stato di inquietudine psicologica e motoria,uno stato associato alla schizofrenia,uno stato causato dalla mania,C,Area Clinica 2019,medicina specialistica
1437,1438,alcuni antidepressivi sono detti triciclici perchè:,sono utilizzati nelle forme cicliche,devono essere somministrati per tre cicli successivi,per le caratteristiche della struttura chimica,è stato attribuito loro un nome di fantasia,sono stati scoperti nel terzo ciclo dell'era psicofarmacologica,C,Area Clinica 2019,medicina specialistica
1438,1439,il delirium tremens:,si tratta di una manifestazione parossistica dell'alcoolismo acuto,è associata a polineuropatia degli arti inferiori,è associato ad un'encefalopatia porta-cava,si tratta di una manifestazione parossistica dell'alcoolismo cronico,si tratta di una malattia attualmente molto diffusa,D,Area Clinica 2019,medicina specialistica
1439,1440,il delirio è:,sempre frammentato e bizzarro,un disturbo della forma del pensiero,un disturbo del contenuto del pensiero,sempre organizzato e ben strutturato,un disturbo della percezione,C,Area Clinica 2019,medicina specialistica
1440,1441,"la legge 180 del maggio 1978 ha radicalmente trasformato il precedente quadro legislativo, perché:",ha abolito il binomio pericolosità-sorveglianza su cui si basavano le precedenti legislazioni e ha restituito ai malati i diritti civili,ha bloccato lo sviluppo dei servizi e delle strutture territoriali previsti dai precedenti quadri legislativi,ha permesso la creazione di reparti di psichiatria (spdc) nell'ospedale generale in cui è possibile il ricovero volontario,ha programmato solo la costruzione di ospedali psichiatrici (o.p.) in modo limitato,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina specialistica
1441,1442,quali sono gli effetti collaterali endocrini più frequenti dei farmaci antipsicotici?,ipertiroidismo,scompenso diabetico,ipogonadotropismo,ipopituitarismo,iperprolattinemia,E,Area Clinica 2019,medicina specialistica
1442,1443,la confabulazione è un sintomo caratteristico di:,stato maniacale,sindrome afasica,sindrome di korsakov,delirio mistico,nevrosi ossessiva,C,Area Clinica 2019,medicina specialistica
1443,1444,l'inconscio collettivo è stato postulato da:,jung,mead,freud,kardiner,ey,A,Area Clinica 2019,medicina specialistica
1444,1445,la sofferenza melanconica è:,del tutto trascurabile,più intensa al pomeriggio,più intensa alla sera,a giorni alterni,più intensa al mattino,E,Area Clinica 2019,medicina specialistica
1445,1446,"per ""presa in carico"" si intende:",l'assunzione totale da parte dell'equipe della gestione della vita del paziente,l'assunzione della responsabilità della cura e dell'attuazione del progetto terapeutico,il ricovero del paziente in una struttura protetta,l'assunzione totale dei problemi familiari,l'assunzione totale dei problemi sociali,B,Area Clinica 2019,medicina specialistica
1446,1447,la rimozione della contenzione fisica deve avvenire:,a seguito di un'osservazione infermieristica,dopo prescrizione medica,su indicazione del coordinatore,dopo l'intervento del direttore generale,dopo l'intervento del magistrato,B,Area Clinica 2019,medicina specialistica
1447,1448,una mimica discordante rispetto alle parole e alla situazione in cui si trova una persona è caratteristica della:,isteria,demenza,mania,schizofrenia,malinconia,D,Area Clinica 2019,medicina specialistica
1448,1449,i cerimoniali ossessivi sono:,comportamenti iterativi per aggredire le persone circostanti,allucinazioni ricorrenti uditive di aspetto rituale,delle stereotipie senza finalità,"comportamenti abnormi, rituali e ripetitivi in difesa dell'ossessività e dell'ansia",rituali di comportamento sessuale,D,Area Clinica 2019,medicina specialistica
1449,1450,che cosa significa craving ?,intenso e irrefrenabile desiderio di assumere una sostanza psicotropa già provata in precedenza,necessità di aumentare l'uso di alcool e di sostanze stupefacenti per soddisfare il desiderio;,"stato clinico caratterizzato da tremori, tachicardia, ansia, sudorazione dopo un periodo di astinenza;",manifestazione tipica della dipendenza fisica,prurito generalizzato associato a lesioni da grattamento,A,Area Clinica 2019,medicina specialistica
1450,1451,la fuga delle idee è tipica del:,stato di eccitamento maniacale,stato di eccitamento confusionale,stato melanconico stuporoso,isteria,emorragia subaracnoidea,A,Area Clinica 2019,medicina specialistica
1451,1452,il pensiero nella confusione mentale è:,lucido e coerente,incoerente e frammentario,accelerato ma coerente,invaso da idee ossessive,lucidamente delirante,B,Area Clinica 2019,medicina specialistica
1452,1453,le allucinazioni nella schizofrenia sono prevalentemente:,uditive,olfattive,tattili,visive,cenestesiche,A,Area Clinica 2019,medicina specialistica
1453,1454,quali di queste malattie possono indurre quadri similschizofrenici?,tutte le seguenti,tumori cerebrali,infezioni cerebrali,malattie degenerative,epilessia,A,Area Clinica 2019,medicina specialistica
1454,1455,gli psicofarmaci possono dare effetti collaterali?,"sempre, a prescindere dal tipo e dal dosaggio",quasi mai,no ma spesso vengono mimati dai pazienti,si,no,D,Area Clinica 2019,medicina specialistica
1455,1456,il servizio psichiatrico territoriale:,ha funzioni autonome e di controllo,non svolge attività terapeutiche,"svolge attività ambulatoriali, domiciliari e attività di urgenza psichiatrica.",si occupa solo delle attivita ambulatoriali,svolge compiti di coordinamento con i reparti psichiatrici,C,Area Clinica 2019,medicina specialistica
1456,1457,a cosa può essere attribuita la causa della psicosi confusionale?,a cause tossiche,ad un quadro di reattività isterica,all'evoluzione di una forma depressiva,alla somatizzazione di marcato stato ansioso,all'evoluzione di una forma schizofrenica cronica,A,Area Clinica 2019,medicina specialistica
1457,1458,l'uso dei mezzi di contenzione fisica è consentito:,in tutti i casi a discrezione degli infermieri,in tutti i casi a discrezione del coordinatore,in tutti i casi dietro prescrizione medica,mai,in nessuna delle altre risposte indicate,C,Area Clinica 2019,medicina specialistica
1458,1459,"le lesioni meningo-encefaliche, prese ad esempio per dimostrare che le malattie mentali sono espressione di malattie organiche del cervello, sono causate da:",sifilide,vaiolo,lebbra,arteriosclerosi,nessuna,A,Area Clinica 2019,medicina specialistica
1459,1460,"in quale tipo di personalità si riscontrano instabilità affettiva, frequenti comportamenti autolesivi, disforia e crisi d'instabilità e rabbia?",borderline,narcisistico,compulsivo,paranoide,passivo-aggressivo,A,Area Clinica 2019,medicina specialistica
1460,1461,un delirio dotato di una solida organizzazione interna viene definito:,sistematizzato,lucido,paranoide,secondario,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina specialistica
1461,1462,l'autismo infantile rientra nei disturbi:,pervasivi dello sviluppo,d'ansia,dell'umore,psichici,di personalità,A,Area Clinica 2019,medicina specialistica
1462,1463,quale delle seguenti non è una caratteristica dell'anoressia nervosa:,precedente storia di obesità,amenorrea,bassa estrazione sociale,comportamento autopunitivo,difficile rapporto con la madre,C,Area Clinica 2019,medicina specialistica
1463,1464,quale è un tipico disturbo ideativo dello schizofrenico?,la coazione a ripetere,la fuga delle idee,la percezione delirante,la confabulazione,l'idea ossessiva,C,Area Clinica 2019,medicina specialistica
1464,1465,l'esclusione dei folli in luoghi separati dalla società è stata motivata da:,problemi sanitari,sentimenti umanitari,problemi sociali,sentimento religioso,desiderio di guarigione,C,Area Clinica 2019,medicina specialistica
1465,1466,la venlafaxina a quale classe di antidepressivi appartiene?,snri,nassa,triciclici,ssri,nari,A,Area Clinica 2019,medicina specialistica
1466,1467,il tic è:,un movimento coreiforme,un movimento involontario e ricorrente non ritmico,un movimento diatonico,un movimento mioclonico,un movimento volontario,B,Area Clinica 2019,medicina specialistica
1467,1468,come si definisce un insieme di idee errate a causa di un'alterazione morbosa della coscienza della realtà?,illusione,delirio,errore di giudizio,debolezza mentale,particolarismo,B,Area Clinica 2019,medicina specialistica
1468,1469,"come si definisce l'idea che tende a permanere, malgrado la volontà del soggetto, che cerca di eliminarla?",idea ossessiva,idea prevalente,idea particolare,idea incoerente,idea delirante,A,Area Clinica 2019,medicina specialistica
1469,1470,nell'anoressia nervosa si riscontra:,amenorrea,paura di ingrassare,vomito autoindotto,riduzione dell'assunzione di cibo,tutte le altre risposte indicate,E,Area Clinica 2019,medicina specialistica
1470,1471,"la forma di ""demenza"" secondaria più frequente è quella dovuta a:",leucodistrofia cerebrale,panencefalite subacuta sclerosante,riduzione generalizzata senile del tessuto cerebrale,danno encefalico da arteriopatia cronica,m. di wilson,D,Area Clinica 2019,medicina specialistica
1471,1472,che cosa si prefigge la riabilitazione psicosociale?,l'addestramento alla corretta esecuzione di compiti pratici,la risoluzione dei sintomi produttivi,"l'acquisizione di prestazioni comportamentali, con particolare riferimento alle capacità relazionali e di socializzazione",la risouzione dei sintomi negativi,tutte le altre risposte indicate,E,Area Clinica 2019,medicina specialistica
1472,1473,nella paranoia si riscontra:,delirio lucido,nessun delirio,una mescolanza di deliri lucidi e confusi,delirio di noia,delirio di miseria,A,Area Clinica 2019,medicina specialistica
1473,1474,il quantitativo massimo giornaliero di alcol che è possibile assumere è :,36 gr die per i maschi e 24 gr. die per le femmine,24 gr die per i maschi e 12gr. die per le femmine,48 gr die per i maschi e 36 gr. die per le femmine,60gr die per i maschi e 48 gr. die per le femmine,120 gr die per i maschi e 84gr. die per le femmine,A,Area Clinica 2019,medicina specialistica
1474,1475,con la legge 180/1978 l'assistenza psichiatrica è passata:,da una concezione custodialistica a una terapeutica,da una concezione terapeutica a una custodialistica,da una concezione manicomiale a una residenziale,dal territorio all'ospedale,dalla comunità all'ospedale psichiatrico,A,Area Clinica 2019,medicina specialistica
1475,1476,che cos'è la terapia familiare?,"è una psicoterapia che interviene sulla comunicazione della famiglia, intesa come ""sistema"" ed ha come obiettivo il cambiamento dei suoi modelli di comunicazione",è una terapia che parte dal presupposto che la responsabilita' della sofferenza e' dei familiari e non del paziente designato,"è una terapia che si propone, come obiettivo, l'inserimento del paziente in una casa famiglia",è un tipo di terapia psicoanalitica,è una forma di terapia che associa la terapia relazionale con quella psicoanalitica,A,Area Clinica 2019,medicina specialistica
1476,1477,l'aspetto del paziente:,è un parametro dell'esame psichico,è ininfluente nella valutazione psichica,varia a seconda del ceto sociale,è legato solo all'abbigliamento,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina specialistica
1477,1478,come dovrebbe essere la permanenza di un ospite in una struttura residenziale?,di breve durata e mirante a superare il periodo di crisi,con scadenza prestabilita e mirante alla realizzazione di obiettivi di reinserimento sociale,a tempo indeterminato e mirante a proteggere il pz. dalle pressioni ambientali,con scadenza indeterminata per problemi assistenziali,nessuna delle altre risposte indicate,B,Area Clinica 2019,medicina specialistica
1478,1479,una fobia è:,un sintomo d'ansia che si manifesta a partire dall'adolescenza,l'ansia clinicamente significativa provocata dall'esposizione ad un oggetto o situazione temuti,un movimento ripetitivo che si accompagna ad ansia,l'impulso a scappare per evitare un oggetto che produce ansia,la convinzione ingiustificata di avere contratto una malattia,B,Area Clinica 2019,medicina specialistica
1479,1480,gli impulsi pantoclastici sono:,impulsi aggressivi volti alla distruzione di tutti gli oggetti circostanti,impulsi masturbatori,reazioni ansiose con tendenza all'evitamento,impulsi di tipo ossessivo contraddittorio,impulsi a sfondo mistico tesi alla comunione con le divinità,A,Area Clinica 2019,medicina specialistica
1480,1481,il trattamento sanitario obbligatorio (t.s.o.) è un provvedimento:,emesso dal sindaco sulla base di certificazioni mediche,emesso da un medico del territorio,emesso da un medico del territorio e da un altro medico dell'ospedale,emesso dal sindaco,emesso dal giudice tutelare,A,Area Clinica 2019,medicina specialistica
1481,1482,durante il colloquio con il paziente psichiatrico si deve:,analizzare le domande,privilegiare la comunicazione diretta,rassicurare sempre il paziente.,mantenere le distanze,giudicare il paziente,B,Area Clinica 2019,medicina specialistica
1482,1483,quali tra i seguenti sono comuni effetti collaterali degli antidepressivi triciclici?,aumento ponderale,disturbi del ritmo cardiaco,riduzione della soglia convulsiva,"effetti muscarinici (secchezza delle fauci, stipsi e ritenzione urinaria)",tutte le risposte indicate,E,Area Clinica 2019,medicina specialistica
1483,1484,i disturbi di personalità:,sono disturbi con marcate alterazioni comportamentali,sono codificati sull'asse ii dell'icd-10,sono disturbi di matrice psicotica,sono sempre accompagnati da disturbi della percezione,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina specialistica
1484,1485,la mania è:,un disturbo del pensiero,una forma di schizofrenia,un disturbo dell'umore,un atteggiamento provocatorio del paziente,un disturbo della percezione,C,Area Clinica 2019,medicina specialistica
1485,1486,la legge 180 prevede:,la creazione di nuovi reparti manicomiali,l'uso di nuove terapia psicoterapiche,lo spostamento dell'asse di intervento dal manicomio al territorio,la riduzione degli interventi psichiatrici,nessuna delle altre risposte indicate,C,Area Clinica 2019,medicina specialistica
1486,1487,il ritardo mentale è:,una situazione di svantaggio socioculturale,una inibizione intellettiva su base emotiva,una riduzione significativa dell'efficienza intellettiva con disturbi del comportamento adattivo,una malattia genetica,una situazione di repressione intellettiva,C,Area Clinica 2019,medicina specialistica
1487,1488,la depressione è:,un disturbo dell'umore,un disturbo esclusivamente di natura psicotica,una alterazione dello stato di coscienza,un innalzamento del tono dell'umore,un disturbo della percezione,A,Area Clinica 2019,medicina specialistica
1488,1489,quale delle seguenti condizioni è caratterizzata da disorientamento spazio-temporale:,stato crepuscolare,amenza,disturbo delirante,nevrosi ossessiva compulsava,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina specialistica
1489,1490,quale dei seguenti organi risulta più facilmente interessato da processi psicosomatici:,colon,orecchio medio,reni,milza,testicolo,A,Area Clinica 2019,medicina specialistica
1490,1491,tutti i seguenti sintomi/comportamenti sono presenti nel disturbo dell'adattamento in risposta a fattori stressanti tranne:,umore depresso,ansia,alterazioni della condotta,delirio,irrequietezza,D,Area Clinica 2019,medicina specialistica
1491,1492,tutti i seguenti sintomi/comportamenti sono caratteristici di un disturbo della condotta tranne:,furto,violazione di regole,tic,aggressioni,bugie,C,Area Clinica 2019,medicina specialistica
1492,1493,a cosa corrisponde una pseudoallucinazione?,sentire che tutto ciò che esiste all'esterno proviene dall'interno,sentire che dal proprio interno non può venire nulla,sentire voci provenire dal proprio interno,sentire che tutto ciò che è falso è una allucinazione,sentire voci provenienti da persone conosciute ma non presenti,C,Area Clinica 2019,medicina specialistica
1493,1494,la depressione dell'età involutiva si caratterizza per:,labilità emotiva,aspetto ansioso,aspetto isteriforme,inquinamento paranoideo,tutte,E,Area Clinica 2019,medicina specialistica
1494,1495,quando inizia la relazione terapeutica?,dal primo colloquio,quando il paziente decide di iniziare la terapia,dopo un certo tempo dall'inizio della terapia,dopo almeno un anno,dopo due anni,A,Area Clinica 2019,medicina specialistica
1495,1496,la conversione sul piano somatico dei conflitti inconsci è alla base:,dei sintomi isterici,dei sintomi neuroastenici,delle crisi epilettiche,dei sintomi psicosomatici,di alcune conversioni religiose,A,Area Clinica 2019,medicina specialistica
1496,1497,il delirio lucido è caratterizzato da:,uno stato di coscienza non alterato,stato oniroide,alterazione degli organi di senso,coscienza di malattia,uno stato di coscienza ipervigile,A,Area Clinica 2019,medicina specialistica
1497,1498,l'abuso alcolico cronico può portare a:,demenza praecox,nevrosi d'ansia,demenza,schizofrenia,nessuna delle altre risposte indicate,C,Area Clinica 2019,medicina specialistica
1498,1499,la personalità isterica è caratterizzata dai seguenti elementi ad eccezione di:,comportamento sempre razionale,instabilità emotiva,richiesta di attenzione,dipendenza,seduttività,A,Area Clinica 2019,medicina specialistica
1499,1500,la sindrome maligna da neurolettici è caratterizzata da:,pensieri malevoli e maligni,deficit del sistema immunitario con leucopenia,ipertermia,"rigidità muscolare, ipertermia, disturbi neurovegetativi",tutte le altre risposte indicate,D,Area Clinica 2019,medicina specialistica
1500,1501,durante un episodio maniacale il paziente:,si distrae con facilità,si autodenigra,è sempre coerente,è sempre triste,ha idee fobiche,A,Area Clinica 2019,medicina specialistica
1501,1502,lo psicodramma terapeutico:,consiste nel far recitare a un gruppo di pazienti diversi ruoli tratti dalle loro vite e dalle loro problematiche,è un'opera teatrale con profondi risvolti psicologici che si presta ad un uso terapeutico,consiste nel recitare ai pazienti testi teatrali classici emotivamente significativi,consiste nel portare i pazienti ad assistere alla recita di testi teatrali classici emotivamente significativi,è un termine che indica una forma particolare di psicoterapia breve,A,Area Clinica 2019,medicina specialistica
1502,1503,che cosa significa continuità terapeutica?,tenere continuamente sotto controllo il paziente,"somministrare un trattamento psicofarmacologico senza interruzioni, avvalendosi di preparati long-acting","seguire il paziente nei diversi momenti e nelle varie sedi, secondo un progetto terapeutico coerente e umanitario",controllo dei pazienti e dei familiari,tutte le altre risposte indicate,C,Area Clinica 2019,medicina specialistica
1503,1504,il sintomo agorafobico:,può essere presente nel disturbo da attacco di panico,"è un termine in disuso, che andrebbe sostituito con quello piu' appropriato di ""nevrosi fobica""","non rientra nell'ambito generale della nevrosi fobica, perche' va considerta come una manifestazione isterica",è un sintomo della schizofrenia,"è un sintomo gravissimo, indicativo dell'esistenza di una seria psicosi latente",A,Area Clinica 2019,medicina specialistica
1504,1505,il trattamento sanitario obbligatorio secondo l'attuale legislazione psichiatrica può avvenire:,sia in regime di ricovero che a domicilio del paziente o in regime ambulatoriale,esclusivamente a domicilio del paziente o in un regime ambulatoriale,esclusivamente in regime di degenza,solo in una città diversa da quella di residenza,solo in reparto di medicina generale,A,Area Clinica 2019,medicina specialistica
1505,1506,"l'amnesia di fissazione, la confabulazione ed i falsi riconoscimenti sono caratteristiche:",della psicosi di korsakov,della parafrenia fantastica,dell'intossicazione da morfina,del delirium tremens,dell'ansia,A,Area Clinica 2019,medicina specialistica
1506,1507,quale tra le seguenti affermazioni riguardanti i fattori di rischio per la depressione maggiore non è corretta:,"è più frequente in uomini separati, divorziati, celibi, piuttosto che in uomini sposati",è più frequente in donne nubili che in donne sposate,"il rischio è 1,5 - 3 volte maggiore se l'anamnesi familiare è positiva",è 2 volte più probabile nell'uomo che nella donna,vi è un aumento di rischio nei primi 6 mesi del post-partum,D,Area Clinica 2019,medicina specialistica
1507,1508,la sindrome di down è dovuta a:,trisomia libera del cromosoma 21,trisomia da traslocazione del cromosoma 21,"situazione di mosaicismo 46/47, 21+",difetto enzimatico,presenza di un cromosoma 21 soprannumerario,E,Area Clinica 2019,medicina specialistica
1508,1509,di cosa è il trattamento elettivo il diazepam endovena?,delirio geneologico,assenza temporale,paralisi periodica,delirio di gelosia,stato di male epilettico,E,Area Clinica 2019,medicina specialistica
1509,1510,la prognosi della schizofrenia:,è migliore quando il p. coopera alla terapia farmacologica di mantenimento,non è in relazione con l'età di insorgenza,è più favorevole nei soggetti non sposati,è migliore in tutte le condizioni suddette,in nessuna delle suddette condizioni,A,Area Clinica 2019,medicina specialistica
1510,1511,la sintomatologia psichica di un tumore cerebrale in sede prefrontale si manifesta con:,euforia fatua e insipida e scherzosità puerile (la cosiddetta moria),deliri persecutivi,agitazione psicomotoria,allucinazioni visive,facile impressionabilità,A,Area Clinica 2019,medicina specialistica
1511,1512,in epidemiologia che cosa significa il termine incidenza ?,il numero dei casi nuovi osservati,la percentuale epidemiologica più elevata,la gravità del decorso morboso,il numero degli abitanti considerati,la percentuale degli incidenti,A,Area Clinica 2019,medicina specialistica
1512,1513,nella fase depressiva della psicosi maniaco-depressiva è più frequente trovare:,un delirio di colpa,un delirio di fine del mondo,un delirio di grandezza,un delirio di gelosia,confabulazione,A,Area Clinica 2019,medicina specialistica
1513,1514,quale e' il fattore piu' importante nella diagnosi differenziale tra schizofrenia e psicosi organica:,fluttuazione dello stato di coscienza,disturbi dell'attenzione,allucinazioni,inadeguatezza affettiva emotiva,agitazione psicomotoria,A,Area Clinica 2019,medicina specialistica
1514,1515,con restringimento del campo di coscienza si indica:,uno stato oniroide,uno stato confusionale,uno stato crepuscolare,un decadimento intellettivo su base atrofica,la presenza di ideazione parassita ossessiva,C,Area Clinica 2019,medicina specialistica
1515,1516,negli ospedali psichiatrici giudiziari vengono ricoverati:,i malati di mente per i quali è stato accertato uno stato di pericolosità sociale,tutti i malati di mente aggressivi,tutti i malati di mente,tutti i malati di mente sottoposti a trattamento sanitario obbligatorio,tutti gli schizofrenici,A,Area Clinica 2019,medicina specialistica
1516,1517,nella schizofrenia non è presente frequentemente uno dei seguenti disturbi. quale ?,disturbi della forma del pensiero,disturbi della coscienza,disturbi del contenuto del pensiero,disturbi senso percettivi,appiattimento affettivo,B,Area Clinica 2019,medicina specialistica
1517,1518,l'anoressia nervosa:,"è sistematicamente accompagnata da amenorrea quando compare in giovani donne, o da problemi della identificazione sessuale quando colpisce i maschi",è una malattia psicosomatica esclusiva del sesso femminile,è il sintomo secondario della depressione,è una manifestazione della nevrosi ossessiva,è una malattia neurologica che impone un'attenta diagnosi differenziale con le anoressie secondarie ad affezioni psichiatriche funzionali.,A,Area Clinica 2019,medicina specialistica
1518,1519,i farmaci antipsicotici bloccano il recettore postsinaptico per la:,acetilcolina,istamina,noradrenalina,serotonina,dopamina,E,Area Clinica 2019,medicina specialistica
1519,1520,cos'è il campo di coscienza?,l'insieme dei ricordi,il momento che precede il risveglio,l'estensione della confabulazione,la coscienza del campo visivo,l'insieme dei contenuti presenti nella coscienza in un dato momento,E,Area Clinica 2019,medicina specialistica
1520,1521,il segno di babinski è indice di alterazione:,della via piramidale,del sistema cerebellare,della via extrapiramidale,dei nervi cranici,delle vie sensitive,A,Area Clinica 2019,medicina specialistica
1521,1522,cos'è il flash back ?,un'alterazione dell'intelligenza,una reazione all'uso di superalcolici,una distorsione improvvisa delle percezioni da allucinogeni,tipico della psicosi puerperale,una modifica dello stato di coscienza da barbiturici,C,Area Clinica 2019,medicina specialistica
1522,1523,i farmaci anti-mao (anti-monoaminoossidasi) hanno una elettiva azione:,antipiretica,antinfiammatoria,antitiroidea,antidepressiva,antimicotica,D,Area Clinica 2019,medicina specialistica
1523,1524,l'allucinazione è:,una percezione senza oggetto da percepire,un disturbo della vigilanza,sempre di carattere uditivo,caratteristica del disturbo ossessivo-compulsivo,un disturbo del comportamento,A,Area Clinica 2019,medicina specialistica
1524,1525,quale di questi sintomi è più frequente negli anziani depressi?,confusione,anoressia,ipocondria,deliri,allucinazioni,C,Area Clinica 2019,medicina specialistica
1525,1526,quali dei seguenti disturbi sono associati con anomalie dei cromosomi sessuali?,depressione,schizofrenia,disturbo da attacchi di panico,nevrosi ossessiva,nessuno,E,Area Clinica 2019,medicina specialistica
1526,1527,quale delle seguenti affermazioni è vera nel trattamento del paziente psichiatrico ?,può essere trattato solo in base al consenso alla cura,può essere trattato sia volontariamente che obbligatoriamente secondo la fase della patologia,necessita sempre del trattamento sanitario obbligatorio,può essere trattato solo su iniziativa della famiglia,deve essere trattato secondo le richieste sociali,B,Area Clinica 2019,medicina specialistica
1527,1528,nella catatonia si osserva frequentemente:,crisi convulsive,cerimoniali,stereotipie motorie,depressioni dell'umore,decadimento intellettivo,C,Area Clinica 2019,medicina specialistica
1528,1529,"la diagnosi più probabile per un uomo di 22 anni che presenti episodi acuti di allucinazioni olfattive, deja'vu e movimenti masticatori ripetitivi è:",epilessia temporale,attacco d'ansia,schizofrenia paranoide,psicosi amfetaminica,simulazione,A,Area Clinica 2019,medicina specialistica
1529,1530,quale dei seguenti sintomi non è comune nella schizofrenia ?,risposte emotive bizzarre,danno intellettivo,ipocondria,fatuità,pensiero concreto,B,Area Clinica 2019,medicina specialistica
